StationID	Date	Hour	Observation	GSM0p50	GFS	IFS
48894	2017111212	12	0	10.7	12.9	9.9
48894	2017111312	12	0	3.1	6.9	4.6
48894	2017111412	12	0	6.3	26.8	5.8
48894	2017111512	12	2	14.9	15.5	7.3
48894	2017111612	12	0	3	5.8	5.1
48894	2017111712	12	0	0	0	0.1
48894	2017111812	12	6	0.4	1.7	0.9
48894	2017111912	12	36	20.7	40.9	25.4
48894	2017112012	12	5	3.6	0	0.2
48894	2017112112	12	0	4	0	0.6
48894	2017112212	12	0	4.4	0.9	9.5
48894	2017112312	12	0	14.9	1.6	0.5
48894	2017112412	12	4	7.7	0.8	6.2
48894	2017112512	12	0	4.2	2.2	4.3
48894	2017112612	12	0	4.4	2.3	2.2
48894	2017112712	12	0	3.1	0.1	6.5
48894	2017112812	12	0	6.5	0	4
48894	2017112912	12	7	13.1	0.1	5.6
48894	2017113012	12	0	1.4	0	0
48894	2017120112	12	0	0.7	0.3	0.1
48894	2017120212	12	0	8.6	5.1	7.3
48894	2017120312	12	0	1.5	0	11.6
48894	2017120412	12	5	5.2	9.8	7.9
48894	2017120512	12	0	17	4.5	12.8
48894	2017120612	12	0	1.8	2.7	3.3
48894	2017120712	12	0	0	5	4.2
48894	2017120812	12	0	0	0.3	0.5
48894	2017120912	12	0	0	0	0.7
48894	2017121012	12	0	0	0.1	0
48894	2017121112	12	0	0	0	0
48894	2017121212	12	0	0	0	0.3
48894	2017121312	12	27	0	2.3	0.4
48894	2017121412	12	0	0.1	1.6	0.4
48894	2017121512	12	17	0.7	6.4	0.2
48894	2017121612	12	0	0.7	5.7	0.3
48894	2017121712	12	0	0.2	0.1	0.1
48894	2017121812	12	0	0	0	0
48894	2017121912	12	0	0	0	0
48894	2017122012	12	0	0	0	0
48894	2017122112	12	0	0	6.5	2.8
48894	2017122212	12	0	0.1	8.3	3.3
48894	2017122312	12	0	0.2	0.1	4
48894	2017122412	12	0	1.6	1	0
48894	2017122512	12	7	5.8	0.6	16.6
48894	2017122612	12	6	27.9	14.8	8.5
48894	2017122712	12	0.4	7.5	2.8	18.3
48894	2017122812	12	0	5.3	2.2	1.3
48894	2017122912	12	0	6	0.1	1.5
48894	2017123112	12	0	0	3.1	0.3
48940	2017070512	12	0	9	0.4	7.2
48940	2017070612	12	2.2	0.5	2.5	7.7
48940	2017070712	12	10.4	13.8	7.2	11.8
48940	2017070812	12	5	33.6	14.6	22.1
48940	2017070912	12	0.9	23.9	12.9	7
48940	2017071012	12	0	13.9	0.5	1.4
48940	2017071212	12	1.2	19.5	1.3	22.2
48940	2017071312	12	5	23.2	6.3	17.8
48940	2017071412	12	8	16	32.8	10.1
48940	2017071512	12	28	19.3	4.7	23.6
48940	2017071712	12	28	47.2	25.4	19.4
48940	2017072012	12	11.5	18.8	1.1	2.5
48940	2017072312	12	0.2	17.6	19.4	14.7
48940	2017072412	12	0.8	21.3	8.3	6.4
48940	2017072512	12	4	25.7	13.9	15.1
48940	2017072612	12	9.6	51.6	38.2	19.8
48940	2017072712	12	5.4	36.8	28.7	8.3
48940	2017073012	12	6.2	30.8	16	14.7
48940	2017073112	12	0	5.4	22.1	8.7
48940	2017080112	12	0	3.3	9.8	2.4
48940	2017080212	12	0.3	3	5.6	0.8
48940	2017080412	12	0.1	24.6	29.5	12.3
48940	2017080512	12	30.4	18	21.5	30.5
48940	2017080712	12	1.2	16	6.8	1.5
48940	2017080812	12	0	7.1	23.2	0.1
48940	2017080912	12	15	19.3	0.1	0.1
48940	2017081012	12	0	3.9	1.8	0.7
48940	2017081112	12	0	7.5	0	0.1
48940	2017081412	12	0	7.2	0	5.1
48940	2017081512	12	2	24.9	0.1	11.8
48940	2017081612	12	1	12.5	9.1	7
48940	2017081712	12	55	14.9	1.3	20.9
48940	2017081812	12	18	7.4	20.7	8.5
48940	2017081912	12	4	11.9	8.7	13.9
48940	2017082012	12	40	6.5	28.4	6.2
48940	2017082312	12	0	0.2	0	0.5
48940	2017082512	12	1	3.5	16.1	12
48940	2017082612	12	10	9.2	1.3	9.5
48940	2017082912	12	40.5	19.2	28	15.6
48940	2017083012	12	10	28.2	26.5	21.9
48940	2017083112	12	16	14	12.9	11.5
48940	2017090112	12	6	8.1	6.4	7.5
48940	2017090212	12	0	5.7	8	16.2
48940	2017090312	12	0	7	10	9.4
48940	2017090412	12	3	13.4	3.4	5.6
48940	2017090512	12	3.5	17.4	21.5	17.8
48940	2017090612	12	5	23.1	5.1	17.9
48940	2017090712	12	0.5	18.5	10.7	9.7
48940	2017090812	12	6.5	26	1.9	9.2
48940	2017091012	12	5	21.6	0	11.3
48940	2017091312	12	2	4.7	8.8	4.9
48940	2017091412	12	0.8	2.1	0.5	1.6
48940	2017091512	12	3	2.5	10.9	18.8
48940	2017091812	12	7	9	8.1	1.2
48940	2017092012	12	0	6.2	0.1	6.2
48940	2017092112	12	4.9	14.5	11	16.2
48940	2017092212	12	26	7.2	1.8	4.3
48940	2017092312	12	3	6.4	11.7	10.2
48940	2017092512	12	30	13.4	5.1	23.5
48940	2017093012	12	0	11.2	25.3	24.7
48940	2017100312	12	1.3	8.7	8.2	3.9
48940	2017100412	12	25	9.8	21.5	6.4
48940	2017100712	12	11	5.8	19.6	8.6
48940	2017100812	12	0	6.8	8.2	12.4
48940	2017101312	12	0	5.8	9.8	3.9
48940	2017101612	12	10	6.7	4	1.4
48940	2017101712	12	9	3.4	7	1.9
48940	2017102112	12	0	0	6.5	4.3
48940	2017102212	12	0.4	2.6	16.6	6.7
48940	2017102312	12	0	0.3	7.2	0.4
48940	2017102912	12	0	0	0	0.4
48940	2017103012	12	0	0	0	0
48940	2017110612	12	0.2	16	0	7.6
48940	2017120812	12	0	0	0	0
48940	2017121312	12	0	0	0	0.8
48940	2017121912	12	0	0	0	0
48940	2017122712	12	7.1	9.8	6.5	10.7
48947	2017070512	12	0	1.9	3.1	2.6
48947	2017070612	12	29.8	8.1	1	4.5
48947	2017070712	12	71	10.5	0.6	10
48947	2017070812	12	25	4.5	1.4	9.8
48947	2017071012	12	0	3.6	4.1	4.8
48947	2017071112	12	5	15	4.3	7.7
48947	2017071312	12	3	2.9	2.8	23.8
48947	2017071412	12	13	18.4	9.3	12.9
48947	2017071512	12	36	20.3	19.7	9.3
48947	2017072012	12	0	8.7	1.8	10.2
48947	2017072312	12	4	9.3	18	11.3
48947	2017072512	12	50	19.5	54.9	44.2
48947	2017072612	12	131	36.9	10.8	36.5
48947	2017072712	12	34	30.2	5.1	28.1
48947	2017072812	12	15	19.1	4.1	7.9
48947	2017072912	12	61	12.3	5.1	5.9
48947	2017073012	12	7	4.8	10.9	11.1
48947	2017073112	12	2	3.4	5.2	4.9
48947	2017080212	12	0	0	7.1	1.4
48947	2017080312	12	0	0.3	1.2	3.3
48947	2017080412	12	0	2.5	4.9	8.2
48947	2017080512	12	35	7.9	4.7	10.5
48947	2017080712	12	0	0.5	0	1.5
48947	2017081012	12	1	0.1	0	0.8
48947	2017081112	12	0	0.4	0	0.7
48947	2017081612	12	11	3.9	16.5	7.1
48947	2017081812	12	0	10.8	3.2	6.7
48947	2017081912	12	4	21.7	21.9	9.8
48947	2017082012	12	30	7.6	10.5	3.9
48947	2017082112	12	4	5.4	5.6	1.7
48947	2017082312	12	0	0.9	0.1	2.5
48947	2017082412	12	7	2	11.7	4.1
48947	2017082512	12	0	0.7	1.6	2
48947	2017082612	12	30	14.3	6.2	6.5
